Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M15804,M,295.7,306.3,1712,28.5,error
M15805,M,295.7,306.3,1347,50.4,46
L48126,L,295.6,306.2,1287,54.8,49
L48127,L,295.6,306.2,1428,44.5,51
M15808,M,295.6,306.3,1426,45.5,53
L48129,L,,306.3,1636,32.7,
L48130,L,295.6,306.2,,42.5,58
H30365,H,295.6,306.3,1509,35.8,error
L48132,L,295.5,306.2,1448,48.9,65
L48133,L,295.5,306.1,1650,32.8,67
H30368,H,295.6,306.2,1414,42.5,69
L48135,L,295.6,306.3,1911,20.9,74
H30370,H,295.6,306.2,1632,32.2,76
M15817,M,295.7,306.4,1387,40.1,error
L48138,L,295.8,306.4,1399,47.6,84
L48139,L,295.8,France,1505,35.2,86
L48140,L,295.8,306.5,1534,37.9,88
L48141,L,295.8,306.5,1493,40.5,90
M15822,M,295.8,306.6,1480,43.2,92
L48143,L,,306.6,1621,,95
L48144,L,295.7,306.5,1737,26.2,97
L48145,L,295.8,306.6,1508,46.5,99
M15826,M,295.8,306.5,,32.2,101
M15827,M,295.9,306.6,1532,38.6,104
L48148,L,295.9,306.7,,40.9,
L48149,L,295.9,306.6,1412,41.0,
L48150,L,295.8,306.5,1568,35.1,111
L48151,L,,306.6,1557,41.1,113
L48152,L,,306.6,1644,35.2,
L48153,L,295.9,306.6,,30.4,117
L48154,L,296.0,306.6,1511,35.2,119
M15835,M,296.0,306.6,1628,36.8,121
M15836,M,296.0,306.6,1392,51.3,124
L48157,L,296.0,306.7,-306.7,,127
M15838,M,296.2,306.8,1526,42.3,129
L48159,L,296.2,306.8,1389,53.3,132
L48160,L,296.1,France,1409,42.8,134
L48161,L,296.2,306.8,1655,31.1,136
L48162,L,296.2,306.9,1516,39.1,error
L48163,L,296.2,306.9,1526,34.9,140
L48164,L,296.3,307.1,1419,,142
L48165,L,296.4,307.2,1748,25.3,
H30400,H,296.4,307.1,,32.5,146
M15847,M,296.3,307.1,1534,33.8,151
H30402,H,296.3,307.1,1774,25.9,154
M15849,M,296.2,307.0,2119,18.3,error
L48170,L,296.2,307.0,1414,48.3,614.0
M15851,M,296.1,307.0,1523,42.0,164
L48172,L,296.1,307.1,1651,35.7,614.2
M15853,M,296.1,307.1,1485,36.0,169
M15854,M,296.2,307.2,1168,63.4,172
L48175,L,296.3,307.3,1566,35.8,175
M15856,M,,France,1286,51.1,177
M15857,M,296.3,307.2,,45.9,error
M15858,M,296.4,France,2071,19.4,183
L48179,L,296.3,307.1,1560,,186
L48180,L,,307.1,,29.6,188
L48181,L,296.3,307.1,1662,32.9,190
L48182,L,296.3,307.2,1646,35.0,192
L48183,L,296.2,307.1,1444,46.7,614.2
H30418,H,,307.2,1424,42.0,196
L48185,L,,307.2,1382,52.0,201
L48186,L,296.2,307.1,1413,53.4,203
M15867,M,296.2,307.2,1633,31.1,0
L48188,L,296.2,307.1,1441,41.7,3
M15869,M,296.2,307.2,1385,44.0,5
M15870,M,296.2,307.2,1552,34.8,8
M15871,M,296.2,307.3,1451,42.8,11
M15872,M,296.1,307.1,1433,38.5,14
M15873,M,296.1,307.2,1619,29.7,17
L48194,L,296.2,307.2,1445,41.8,20
L48195,L,296.2,307.2,1356,43.6,error
M15876,M,296.3,France,1319,,24
L48197,L,296.3,307.2,1637,31.6,27
L48198,L,296.3,307.2,1291,58.6,
L48199,L,296.3,307.3,1398,52.7,error
L48200,L,296.3,307.3,1372,57.7,33
M15881,M,296.3,307.2,1454,42.5,35
L48202,L,296.2,France,1515,36.5,38
L48203,L,296.2,307.3,1881,24.3,40
L48204,L,296.2,307.3,1711,29.9,42
L48205,L,296.2,307.3,1475,37.0,44
L48206,L,296.4,307.4,1512,36.8,46
M15887,M,296.3,307.4,1335,50.5,
L48208,L,296.3,307.4,1472,39.9,614.8
M15889,M,296.2,307.3,1477,35.2,53
L48210,L,296.3,307.4,1760,28.4,error
L48211,L,296.4,307.5,1549,,58
L48212,L,296.3,307.4,1648,34.0,error
H30447,H,296.4,307.5,1556,38.0,62
M15894,M,296.3,307.4,,19.1,67
L48215,L,296.4,307.4,1403,48.4,70
M15896,M,296.4,307.5,1684,31.4,72
H30451,H,296.4,307.5,1596,35.1,error
L48218,L,296.6,307.6,1498,38.8767433741811,80
L48219,L,296.7,307.7,1524,36.8,82
L48220,L,296.7,307.7,1502,43.9,84
L48221,L,296.6,307.6,1809,,86
L48222,L,296.6,307.6,1542,37.4,88
L48223,L,296.5,307.6,,45.2,90
L48224,L,296.5,307.6,1512,43.6,92
H30459,H,296.4,307.5,1403,52.8,94
L48226,L,296.4,307.5,,47.8,99
M15907,M,296.6,307.7,1474,52.6,615.4
L48228,L,,307.6,1607,,104
L48229,L,296.5,307.6,1415,44.2,106
L48230,L,296.6,307.6,1671,28.8,108
L48231,L,296.6,France,1556,37.7,110
L48232,L,296.7,307.7,1927,23.9,112
M15913,M,296.7,307.7,1597,32.1,114
H30468,H,296.8,307.8,1627,30.5,117
L48235,L,296.8,307.8,1480,39.4,122
L48236,L,296.8,France,,39.5,
L48237,L,296.8,307.8,,,126
L48238,L,296.7,307.8,1605,31.3,128
M15919,M,296.7,307.9,1874,21.3,130
H30474,H,296.7,307.9,1424,53.8,133
L48241,L,296.7,307.9,1420,50.1,138
L48242,L,296.8,307.9,1372,49.0,140
M15923,M,,307.8,1664,32.8,142
M15924,M,296.8,307.9,1409,44.3,145
L48245,L,296.8,307.9,1718,25.2,148
M15926,M,296.9,307.8,1544,40.3,150
L48247,L,296.9,307.8,1466,45.7,153
L48248,L,296.8,307.8,1394,47.7,155
M15929,M,296.9,307.8,1840,24.6,157
M15930,M,296.9,307.8,1477,37.2,160
L48251,L,296.9,307.8,1425,49.1,163
M15932,M,297.0,307.9,1414,46.2,error
L48253,L,297.0,307.8,1414,47.5,
L48254,L,,307.9,-307.9,31.7,170
H30489,H,296.9,307.8,,,172
L48256,L,296.9,307.7,1653,35.9,177
L48257,L,296.8,307.6,1547,36.5,
H30492,H,296.9,307.7,1656,30.8,181
L48259,L,297.0,307.7,,28.5,186
L48260,L,297.0,307.8,1774,28.0,188
L48261,L,297.0,307.8,1521,40.2,190
H30496,H,297.1,307.9,,39.8,192
L48263,L,297.0,307.8,1683,32.3,197
M15944,M,297.0,307.7,1498,47.1,199
L48265,L,297.0,307.8,1385,56.4,202
L48266,L,297.0,307.9,1455,49.0,204
H30501,H,296.9,307.8,1549,35.8,206
M15948,M,296.9,307.8,1392,43.9,0
M15949,M,296.9,France,2008,17.5,
L48270,L,296.9,307.7,1464,41.4,6
L48271,L,297.0,307.7,1447,46.4,8
M15952,M,296.9,307.6,1685,32.0,10
M15953,M,296.8,307.5,1443,39.2,13
L48274,L,296.9,307.5,,44.4,16
L48275,L,296.9,France,2721,9.3,error
L48276,L,297.0,France,1680,35.8,20
H30511,H,296.9,307.5,1397,48.3,22
M15958,M,,307.4,1521,37.9,27
M15959,M,296.8,307.4,1472,43.9,30
H30514,H,296.8,307.5,1695,30.0,error
H30515,H,296.7,307.5,1607,33.6,38
L48282,L,296.8,307.5,1347,54.8,43
M15963,M,296.7,307.4,1540,38.7,
L48284,L,296.6,307.4,1389,,48
M15965,M,296.6,307.5,1734,27.0,50
L48286,L,296.7,307.6,1540,38.6,53
M15967,M,296.7,307.5,1515,42.1,55
L48288,L,296.6,307.4,1504,45.8,error
L48289,L,296.6,307.5,1557,35.1,60
L48290,L,296.5,307.4,1292,52.5,
H30525,H,296.5,France,1432,49.2,64
M15972,M,296.5,307.4,1350,55.6,69
M15973,M,296.6,307.4,1790,25.8,614.8
H30528,H,296.4,307.3,1540,37.4,error
M15975,M,296.4,307.3,2077,19.1,80
L48296,L,296.4,307.3,1487,37.5,83
L48297,L,296.5,307.4,1523,,
L48298,L,,307.5,1443,41.8,87
L48299,L,,307.5,1340,59.1,89
H30534,H,296.6,307.7,,31.0,91
L48301,L,296.6,307.6,1459,40.2,96
L48302,L,296.5,307.6,1541,38.5,98
H30537,H,296.6,307.7,,62.3,100
M15984,M,296.7,307.8,1258,69.0,105
M15985,M,296.7,307.8,1375,51.4,108
L48306,L,296.8,307.9,,30.8,111
M15987,M,,307.8,,32.4,error
M15988,M,,307.9,,25.2,116
L48309,L,296.7,307.9,1690,29.6,error
L48310,L,,France,1413,46.5,121
L48311,L,296.8,307.9,1489,33.4,123
L48312,L,296.8,307.9,1271,61.4,125
M15993,M,296.8,France,1418,47.9,error
M15994,M,296.9,307.8,1426,50.7,130
L48315,L,296.9,307.9,1535,39.2,133
L48316,L,296.9,307.8,1557,38.1,135
L48317,L,296.9,307.8,1653,29.7,137
L48318,L,296.9,307.9,,41.6,139
M15999,M,297.0,307.9,1569,,141
M16000,M,296.9,France,1385,44.8,144
L48321,L,297.0,307.9,1635,31.6,147
L48322,L,296.9,France,1423,43.9,error
L48323,L,297.0,307.9,,39.2,151
L48324,L,297.0,307.9,1296,69.1,153
L48325,L,297.0,France,1553,33.3,155
L48326,L,297.0,307.9,1529,42.2,157
M16007,M,297.1,308.0,1690,,159
L48328,L,297.1,308.0,1348,58.0,162
L48329,L,297.2,308.1,1446,38.5,164
L48330,L,297.1,307.9,1456,50.0,error
L48331,L,297.0,307.9,1350,47.7,
L48332,L,297.1,France,1507,38.3,170
H30567,H,,307.9,1448,45.6,172
L48334,L,296.9,307.9,1626,29.9,177
H30569,H,297.0,307.9,1846,27.3,179
H30570,H,297.0,307.8,1404,,184
L48337,L,297.0,307.8,1583,37.2,189
L48338,L,297.0,307.9,,47.7,191
L48339,L,,307.8,,35.6,193
H30574,H,297.0,307.7,1834,23.8,195
L48341,L,297.0,307.8,1316,,error
L48342,L,296.9,307.8,1400,57.1,202
L48343,L,296.9,307.9,1367,47.1,204
L48344,L,297.1,308.1,1754,30.3,
L48345,L,297.1,308.1,1487,34.6,208
M16026,M,297.1,308.1,1506,37.7,210
L48347,L,297.0,308.1,1362,52.5,213
L48348,L,297.1,308.1,1584,36.8,error
L48349,L,297.0,308.1,1355,43.7,217
M16030,M,297.1,308.1,1823,24.3,219
H30585,H,297.0,308.1,1517,41.4,
L48352,L,297.1,308.1,1446,36.6,227
H30587,H,297.1,308.0,1559,38.8,229
M16034,M,297.1,308.1,1352,44.4,0
M16035,M,297.2,308.3,1578,37.8,3
M16036,M,297.2,308.3,1429,42.0,6
M16037,M,297.2,308.3,1604,,9
L48358,L,297.3,308.5,1398,60.4,12
L48359,L,,308.4,1441,43.4,14
H30594,H,297.3,France,1531,,error
L48361,L,297.2,308.3,1379,,
L48362,L,297.3,308.3,1410,48.1,error
L48363,L,297.3,308.4,1513,40.5,25
L48364,L,297.3,308.5,1497,47.5,27
L48365,L,,308.4,1491,46.5,29
L48366,L,,308.4,1417,47.8,31
M16047,M,297.4,308.6,1522,38.0,33
L48368,L,297.3,308.4,1339,52.1,36
M16049,M,297.2,308.3,1794,27.5,38
L48370,L,297.2,308.4,1460,42.1,41
M16051,M,297.2,308.3,1776,28.0,43
M16052,M,297.2,308.3,1431,43.7,46
L48373,L,297.1,308.2,1347,50.8,49
M16054,M,,France,1507,43.1,51
M16055,M,297.0,308.0,1408,47.9,54
M16056,M,297.0,307.9,1493,34.7,57
M16057,M,296.9,307.9,1441,47.6,60
H30612,H,296.9,307.9,1557,36.5,
M16059,M,296.9,307.9,-307.9,20.4,68
M16060,M,,France,1430,55.9,71
L48381,L,296.9,France,1658,41.0,74
M16062,M,297.0,308.1,1355,51.4,76
H30617,H,297.0,308.1,1410,47.6,79
L48384,L,296.9,308.0,1521,34.5,84
L48385,L,296.8,308.0,1371,54.5,86
H30620,H,296.9,308.0,,53.5,88
M16067,M,297.0,308.1,1573,34.9,93
L48388,L,297.0,308.1,1489,44.1,96
H30623,H,297.0,308.1,2540,13.3,98
L48390,L,,308.1,1537,,error
H30625,H,296.9,308.0,1416,,105
L48392,L,296.9,307.9,1359,56.5,
M16073,M,,307.8,1551,,112
M16074,M,296.8,307.8,1694,,115
L48395,L,296.8,307.9,1709,28.4,118
L48396,L,,France,1514,41.0,120
L48397,L,297.0,308.1,1455,43.5,122
M16078,M,297.0,308.2,1702,30.7,124
M16079,M,,308.1,1357,41.8,127
L48400,L,297.0,308.2,,29.4,130
M16081,M,297.0,308.3,1399,49.78912796426708,132
L48402,L,297.0,308.3,1399,59.0,135
L48403,L,297.0,308.3,1492,48.1,
L48404,L,297.1,308.3,1763,25.7,139
H30639,H,297.1,308.3,1492,41.5,141
L48406,L,,308.4,1488,42.5,146
L48407,L,297.1,308.4,1422,42.1,148
M16088,M,297.1,308.4,1583,38.2,150
L48409,L,297.1,308.4,1304,53.5,153
M16090,M,297.1,308.4,1880,23.5,155
M16091,M,297.2,308.5,1604,40.7,158
L48412,L,297.2,308.6,1500,37.1,error
M16093,M,297.2,308.5,1364,55.6,163
H30648,H,297.2,308.5,2440,14.0,
H30649,H,297.1,308.4,1654,31.4,171
H30650,H,297.1,308.4,1359,46.6,
M16097,M,297.1,308.4,1502,37.3,181
M16098,M,297.1,308.4,1615,32.6,184
H30653,H,297.2,308.5,1482,39.3,187
L48420,L,297.2,308.6,1636,31.3,192
M16101,M,297.1,308.5,1621,32.4,194
L48422,L,297.1,France,1468,44.4,197
M16103,M,297.1,France,1432,53.4,199
L48424,L,,308.4,1726,28.4,202
M16105,M,297.1,France,1588,,error
H30660,H,297.2,308.5,1653,33.3,207
L48427,L,297.2,308.5,1513,42.9,212
L48428,L,297.2,308.6,1489,40.2,214
L48429,L,,308.7,1467,36.8,216
L48430,L,297.3,308.7,1549,36.1,error
M16111,M,,308.8,1359,48.7,220
L48432,L,297.5,308.8,1533,41.5,223
L48433,L,297.5,308.8,1309,57.3,0
H30668,H,297.5,308.8,1430,,2
H30669,H,297.5,308.9,1419,50.7,7
M16116,M,297.5,308.9,,37.7,error
L48437,L,297.5,308.9,1466,43.0,15
L48438,L,297.5,308.9,1427,50.4,17
M16119,M,297.5,308.9,1280,48.5,19
